text,intent,lang
help can need what checking in cases ask for refunds,general_query,en
cannot of registration error notify,general_query,en
Is there a tutorial or guide?,general_query,en
do know to need what payment options dont list ur,general_query,en
to you what try check payment methods accept,general_query,en
to would like check your policy money back,general_query,en
how could my check will when item arrive,general_query,en
Do you support real-time help?,general_query,en
Explain how this works.,general_query,en
Where can I find FAQs?,general_query,en
Do I have to pay for support?,general_query,en
to can trying what check in cases ask for refund am,general_query,en
Can you tell me your refund policy?,general_query,en
Is customer care available right now?,general_query,en
about the me more tell delivery periods,general_query,en
cancelling help the to need your newsletter subscription,general_query,en
about the me tell newsletter company subscription,general_query,en
have do to what issue report registration,general_query,en
help the last my invoices from finding purchase,general_query,en
an where could with issue payments report,general_query,en
help to me check payment methods your allowed,general_query,en
Can I get a copy of our chat?,general_query,en
Where can I contact customer service?,general_query,en
know how to don issues report registration,general_query,en
Are there any demo videos?,general_query,en
What is your response policy?,general_query,en
can what in cases ask for refunds,general_query,en
help to me issue payment report,general_query,en
help the to me corporate subscribing newsleter,general_query,en
to my need take quick look at invoices,general_query,en
the how to can delivery check am calling soon expect,general_query,en
can could you me what delivery show options for choose,general_query,en
help to could my you me take quick look at invoice,general_query,en
have help could you me what delivery checking options for,general_query,en
What is the purpose of this site?,general_query,en
Can I ask a few general questions?,general_query,en
accepted payment options seeing,general_query,en
Can I connect with other users?,general_query,en
have to got check your policy money back,general_query,en
What values do you follow?,general_query,en
How long have you been in business?,general_query,en
Is there a limit to usage?,general_query,en
the how delivery take long does,general_query,en
the do not know how could delivery check options for,general_query,en
help the delivery checking options,general_query,en
What should I do if I have a question?,general_query,en
the do not know how can check invoices,general_query,en
Can I follow you for updates?,general_query,en
about the to cancel me tell ur newsletter subscription,general_query,en
help the how to want delivery check long takes,general_query,en
to could my is you me show when item going arrive,general_query,en
do not know how to my take quick look at invoices,general_query,en
help to me what delivery check options are available,general_query,en
help to could you me check payment methods your allowed,general_query,en
What are your working hours?,general_query,en
Where can I log issues?,general_query,en
to can assistance what check in cases ask for refund,general_query,en
can assistance what checking in cases ask for refund,general_query,en
help want accepted payment methods your listing,general_query,en
Are there any usage charges?,general_query,en
to can want what check in cases ask be refunded,general_query,en
the cancel can newsletter company subscription,general_query,en
to want my take quick look at invoices,general_query,en
help the how can could you me check item soon expect,general_query,en
Is your service user-friendly?,general_query,en
to is it possible issue payment report,general_query,en
Do you share user queries?,general_query,en
to what delivery check options are available call,general_query,en
have the to see accepted payment options,general_query,en
What services are included?,general_query,en
with up of sign informing problems,general_query,en
What’s your vision?,general_query,en
how to assistance need check take refunds long usually,general_query,en
the cancel could newsletter company subscription,general_query,en
my me show will when item arrive,general_query,en
the want assistance invoices from finding months ago,general_query,en
to where what check payment methods are available,general_query,en
how can you me show take refunds long usually,general_query,en
What happens if I don’t get a reply?,general_query,en
Where can I learn more?,general_query,en
Where is your contact form?,general_query,en
Do you offer any guarantees?,general_query,en
Is phone support available?,general_query,en
to my assistance need check invoices,general_query,en
how to my check invoices,general_query,en
about the information give me delivery period,general_query,en
about the me more tell delivery options,general_query,en
Do you have a feedback form?,general_query,en
to can what check ask be refunded under circumstances,general_query,en
How do I get started?,general_query,en
to with trying issues payment am report,general_query,en
Can you walk me through this?,general_query,en
want assistance checking your refund policy,general_query,en
do not know how could issues report registration,general_query,en
to need what delivery check options are available for,general_query,en
How can I file a complaint?,general_query,en
do how report error signup,general_query,en
the do know how to up newsletter sign ont,general_query,en
What can I do here?,general_query,en
Do you offer a community forum?,general_query,en
Is this an online shopping platform?,general_query,en
to would like issues report registration,general_query,en
help how could you me checking take refunds long,general_query,en
to assistance what delivery check options are available for,general_query,en
have can you me what delivery show options,general_query,en
help the to could you me find invoice,general_query,en
how could check your refund policy,general_query,en
Do you provide 24/7 support?,general_query,en
the last my assistance invoice from finding purchase,general_query,en
the do not know how to check invoices from august,general_query,en
help the to can me ya unsubscribe nedwsletter,general_query,en
Do you have a knowledge base?,general_query,en
Do you have a mobile app?,general_query,en
Do you have a chatbot?,general_query,en
Can I cancel anytime?,general_query,en
Is this available internationally?,general_query,en
Is this available 24/7?,general_query,en
Is there any support team?,general_query,en
can what check ask for refunds under circumstances,general_query,en
to where check your refund policy,general_query,en
Do I need to register to use this?,general_query,en
could issues report registration,general_query,en
How reliable is your service?,general_query,en
the how want assistance delivery checking long takes,general_query,en
can assistance what delivery checking options choose,general_query,en
the to would like check invoices from ago 10 purchases,general_query,en
to assistance need issues up sign report,general_query,en
could my check invoices,general_query,en
How fast is your response time?,general_query,en
how to my check will when item arrive,general_query,en
Where can I give a review?,general_query,en
how to my is delivery check when going arrive,general_query,en
to trying your am subscribe newsletter company,general_query,en
How can I use this service?,general_query,en
I need more info before using it.,general_query,en
could you me what delivery show options are available,general_query,en
an help can you me with issue payment solving,general_query,en
help to can you me issue report registration,general_query,en
help to issues report registration,general_query,en
how to can my is check when item going arrive,general_query,en
Do you have a helpdesk?,general_query,en
what payment methods are your allowed,general_query,en
to find trying delivery am periods,general_query,en
What makes your service special?,general_query,en
Can I access your service from anywhere?,general_query,en
help to me with issues payment solve,general_query,en
to need issues fucking report registration,general_query,en
help how me checking take refunds long usually,general_query,en
help the me delivery checking options,general_query,en
Is this service accessible?,general_query,en
about the information newsletter company subscription,general_query,en
help the could you me find invoice from months ago six,general_query,en
Is a trial version available?,general_query,en
How can I trust your service?,general_query,en
the how can me delivery show soon expect,general_query,en
the me show invoices from ago 10 purchases,general_query,en
help could you me issues payment report,general_query,en
could what delivery check options are available for,general_query,en
could you me show your policy money back,general_query,en
an know how can don with issue payments report,general_query,en
Can you explain the process?,general_query,en
What is the best way to reach you?,general_query,en
have to issue payment report,general_query,en
"I’m new here, what is this about?",general_query,en
Is there downtime?,general_query,en
do not know to what your up newsletter sign,general_query,en
do how check your policy money back,general_query,en
help want with issues payments solving,general_query,en
order the is what delivery for period this,general_query,en
help to can my is you me delivery check when going arrive,general_query,en
help need problem up sign reporting,general_query,en
can could what check in cases ask for refund,general_query,en
to can what in cases ask be refunded,general_query,en
the to delivery check options for am calling,general_query,en
have to what delivery check options am calling,general_query,en
how to my is check when item going arrive,general_query,en
What to do if I’m confused?,general_query,en
know how can don you what delivery check options offer,general_query,en
Can I see your address?,general_query,en
help to can me what check in cases ask be refunded,general_query,en
help the can you me take quick look at invoices from may,general_query,en
the to where check payment methods available,general_query,en
about know to want delivery periods,general_query,en
