text,intent,lang
Cancel my order,cancel_order,en
Don't deliver it,cancel_order,en
Abort the purchase,cancel_order,en
Please cancel my item,cancel_order,en
Cancel my order,cancel_order,en
Don't deliver it,cancel_order,en
Cancel it now,cancel_order,en
Cancel it now,cancel_order,en
Don't deliver it,cancel_order,en
Cancel my order,cancel_order,en
Stop the order,cancel_order,en
Please cancel my item,cancel_order,en
Please cancel my item,cancel_order,en
I want to cancel this,cancel_order,en
I changed my mind,cancel_order,en
Don't deliver it,cancel_order,en
Cancel that product,cancel_order,en
Cancel that product,cancel_order,en
Cancel that product,cancel_order,en
Don't deliver it,cancel_order,en
Cancel that product,cancel_order,en
"I made a mistake, cancel",cancel_order,en
Don't deliver it,cancel_order,en
I changed my mind,cancel_order,en
Abort the purchase,cancel_order,en
Abort the purchase,cancel_order,en
"I made a mistake, cancel",cancel_order,en
Don't deliver it,cancel_order,en
Stop the order,cancel_order,en
"I made a mistake, cancel",cancel_order,en
I want to cancel this,cancel_order,en
Abort the purchase,cancel_order,en
Please cancel my item,cancel_order,en
Don't deliver it,cancel_order,en
Abort the purchase,cancel_order,en
Cancel it now,cancel_order,en
I changed my mind,cancel_order,en
Don't deliver it,cancel_order,en
Don't deliver it,cancel_order,en
Cancel that product,cancel_order,en
Cancel that product,cancel_order,en
I changed my mind,cancel_order,en
Please cancel my item,cancel_order,en
I want to cancel this,cancel_order,en
I want to cancel this,cancel_order,en
"I made a mistake, cancel",cancel_order,en
Cancel it now,cancel_order,en
I changed my mind,cancel_order,en
Cancel it now,cancel_order,en
I changed my mind,cancel_order,en
ऑर्डर कैंसिल कर दो,cancel_order,hi
मैं इसे रद्द करना चाहता हूँ,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
मुझे अब ऑर्डर नहीं चाहिए,cancel_order,hi
मुझे ऑर्डर नहीं चाहिए,cancel_order,hi
कृपया ऑर्डर रद्द करें,cancel_order,hi
मैं इसे रद्द करना चाहता हूँ,cancel_order,hi
मुझे अब ऑर्डर नहीं चाहिए,cancel_order,hi
उसे रद्द करो,cancel_order,hi
मुझे ऑर्डर नहीं चाहिए,cancel_order,hi
उसे रद्द करो,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
मुझे अब ऑर्डर नहीं चाहिए,cancel_order,hi
कृपया ऑर्डर रद्द करें,cancel_order,hi
कृपया ऑर्डर रद्द करें,cancel_order,hi
मेरा ऑर्डर रद्द करें,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
उसे रद्द करो,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
मुझे ऑर्डर नहीं चाहिए,cancel_order,hi
मेरा ऑर्डर रद्द करें,cancel_order,hi
डिलीवरी मत करो,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
मैं इसे रद्द करना चाहता हूँ,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
ऑर्डर रोक दो,cancel_order,hi
डिलीवरी मत करो,cancel_order,hi
कृपया ऑर्डर रद्द करें,cancel_order,hi
कृपया ऑर्डर रद्द करें,cancel_order,hi
ऑर्डर कैंसिल कर दो,cancel_order,hi
मुझे अब ऑर्डर नहीं चाहिए,cancel_order,hi
मैं इसे रद्द करना चाहता हूँ,cancel_order,hi
इसे अभी रद्द करें,cancel_order,hi
इसे अभी रद्द करें,cancel_order,hi
डिलीवरी मत करो,cancel_order,hi
मुझे ऑर्डर नहीं चाहिए,cancel_order,hi
मेरा ऑर्डर रद्द करें,cancel_order,hi
मुझे ऑर्डर नहीं चाहिए,cancel_order,hi
ऑर्डर रोक दो,cancel_order,hi
कृपया ऑर्डर रद्द करें,cancel_order,hi
उसे रद्द करो,cancel_order,hi
मुझे अब ऑर्डर नहीं चाहिए,cancel_order,hi
मैं इसे रद्द करना चाहता हूँ,cancel_order,hi
मेरा ऑर्डर रद्द करें,cancel_order,hi
ऑर्डर रोक दो,cancel_order,hi
मेरा ऑर्डर रद्द करें,cancel_order,hi
डिलीवरी मत करो,cancel_order,hi
उसे रद्द करो,cancel_order,hi
डिलीवरी मत करो,cancel_order,hi
Cancela mi pedido,cancel_order,es
"Me equivoqué, cancela",cancel_order,es
Quiero cancelar esto,cancel_order,es
Anula la compra,cancel_order,es
Anula la compra,cancel_order,es
Detén el pedido,cancel_order,es
Por favor cancela el producto,cancel_order,es
Por favor cancela el producto,cancel_order,es
Detén el pedido,cancel_order,es
Anula la compra,cancel_order,es
Detén el pedido,cancel_order,es
No lo entregues,cancel_order,es
Quiero cancelar esto,cancel_order,es
Por favor cancela el producto,cancel_order,es
Quiero cancelar esto,cancel_order,es
Detén el pedido,cancel_order,es
Anula la compra,cancel_order,es
Ya no lo quiero,cancel_order,es
Quiero cancelar esto,cancel_order,es
Por favor cancela el producto,cancel_order,es
Cancela mi pedido,cancel_order,es
Cancélalo ahora,cancel_order,es
Cancela ese producto,cancel_order,es
Anula la compra,cancel_order,es
Cancela mi pedido,cancel_order,es
No lo entregues,cancel_order,es
No lo entregues,cancel_order,es
Quiero cancelar esto,cancel_order,es
Ya no lo quiero,cancel_order,es
Por favor cancela el producto,cancel_order,es
Ya no lo quiero,cancel_order,es
Cancélalo ahora,cancel_order,es
Anula la compra,cancel_order,es
Cancélalo ahora,cancel_order,es
"Me equivoqué, cancela",cancel_order,es
Detén el pedido,cancel_order,es
Por favor cancela el producto,cancel_order,es
Cancela ese producto,cancel_order,es
Por favor cancela el producto,cancel_order,es
"Me equivoqué, cancela",cancel_order,es
Ya no lo quiero,cancel_order,es
Cancela mi pedido,cancel_order,es
Anula la compra,cancel_order,es
Detén el pedido,cancel_order,es
"Me equivoqué, cancela",cancel_order,es
No lo entregues,cancel_order,es
"Me equivoqué, cancela",cancel_order,es
Ya no lo quiero,cancel_order,es
Cancela ese producto,cancel_order,es
Cancela mi pedido,cancel_order,es
"Yes, place the order",confirm_order,en
Order confirmed,confirm_order,en
Order confirmed,confirm_order,en
I’m okay with this order,confirm_order,en
Place it now,confirm_order,en
Place it now,confirm_order,en
"Yes, place the order",confirm_order,en
Please confirm purchase,confirm_order,en
Confirm it now,confirm_order,en
Place it now,confirm_order,en
"Yes, go ahead",confirm_order,en
"Yes, place the order",confirm_order,en
Order confirmed,confirm_order,en
I want to confirm,confirm_order,en
Confirm it now,confirm_order,en
Confirm my order,confirm_order,en
I want to confirm,confirm_order,en
Place it now,confirm_order,en
I approve this,confirm_order,en
I’m okay with this order,confirm_order,en
I want to confirm,confirm_order,en
I want to confirm,confirm_order,en
